time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,
1,519,159.9040799,60,232.2866111,58.86291827,45.3222,29.79602103,,,
2,527,221.5935973,60,317.5309057,59.37164118,45.3222,35.6646825,,,
3,465,158.3466136,60,300.9935039,52.71567531,45.3222,28.77671106,,,
4,518,178.4929952,60,278.764971,59.18659623,45.3222,32.74311823,,,
5,471,210.8683487,60,334.8743387,54.26295201,45.3222,33.21501162,,,360.3728393
6,492,206.7086385,60,263.5982686,55.30507655,45.3222,34.24163721,,,
7,509,217.4069849,60,277.9593535,57.25376891,45.3222,27.52478683,,,
8,496,183.0187508,60,265.2320863,54.41826952,45.3222,23.85322854,,,
9,503,187.9629021,60,267.6875221,58.62554198,45.3222,27.15005495,,,
10,524,167.9217708,60,257.8721866,58.61301759,45.3222,31.0168386,,,
11,518,157.5073471,60,246.0715607,58.95071986,45.3222,29.46878217,,,
12,519,162.3397788,60,254.8801953,58.24154622,45.3222,35.02869918,,,
13,498,212.8272554,60,305.8657998,57.88897984,45.3222,31.67287985,,,
14,474,192.0527201,60,256.6120803,54.00689313,45.3222,37.63002181,,,
15,488,169.9349703,60,277.885872,56.21822946,45.3222,39.04144904,,,
16,498,212.4520651,60,285.7436519,56.33842007,45.3222,28.49712258,,,
17,471,220.9264927,60,283.8738407,54.25724046,45.3222,29.57859414,,,
18,481,243.4348702,60,318.3317741,55.251925,45.3222,31.46064243,,,
19,496,238.9310538,60,320.8573517,57.14768622,45.3222,34.67103362,,,
20,513,179.0772674,60,274.8514605,57.59326107,45.3222,29.82300423,,,
21,524,222.9709076,60,298.2842849,61.18509265,45.3222,26.88711922,,,
22,493,180.6738223,60,266.860013,58.06365441,45.3222,22.86145526,,,
23,512,200.5560558,60,265.6548839,59.50159202,45.3222,29.25338924,,,
24,479,216.3651337,60,291.3108966,55.13776165,45.3222,34.02059195,,,
25,520,213.6614861,60,285.8739267,59.91622123,45.3222,34.83808758,,,
26,514,256.3481365,60,288.8122351,58.36767443,45.3222,26.83657249,,,
27,497,225.2646321,60,284.9767737,57.00654499,45.3222,30.69092429,,,
28,472,212.6341445,60,299.5913035,51.72690942,45.3222,29.76660214,,,
29,511,201.3720118,60,267.6222287,56.51202797,45.3222,37.55979463,,,
30,504,226.7209809,60,300.365397,56.8842514,45.3222,32.83736664,,,
31,509,213.0240414,60,285.8253915,57.8325401,45.3222,33.44693135,,,
32,504,172.7359544,60,238.0671443,56.89752477,45.3222,29.33977139,,,
33,480,198.7606891,60,289.0597821,54.01255454,45.3222,38.25680945,,,
34,527,158.1798653,60,230.1962425,58.94799665,45.3222,33.07197571,,,
35,454,202.6772086,60,312.4652326,47.96197482,45.3222,25.35978006,,,
36,486,206.5843299,60,284.384652,57.9223903,45.3222,31.45425158,,,
37,504,154.3658461,60,241.1904774,56.75303472,45.3222,24.26753715,,,
38,511,225.598526,60,282.0505807,57.63550222,45.3222,35.99272246,,,
39,523,179.8242477,60,267.6039146,59.88558571,45.3222,31.02016057,,,
40,515,207.402192,60,292.6687247,59.61559855,45.3222,30.65343303,,,
41,475,212.4635825,60,289.6096818,54.42836947,45.3222,25.81862198,,,
42,474,204.1685142,60,289.9838498,52.40420798,45.3222,32.14090985,,,
43,497,179.4361559,60,259.8154348,58.03380393,45.3222,27.10581118,,,
44,487,200.698747,60,276.9481642,56.52022757,45.3222,31.70247133,,,
45,491,179.9471637,60,257.0630648,57.15699099,45.3222,27.86067265,,,
46,536,253.1350314,56,269.5599348,58.63234273,34.60580202,29.92482333,,,
47,519,223.7953778,56,258.115122,57.92993451,34.00478201,32.09965016,,,
48,497,159.5314768,56,235.4828296,55.17576095,34.33239842,23.41368118,,,
49,465,233.6773302,56,268.765806,55.64601798,34.34632393,28.02967567,,,
