time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,,
37,504,154.3658461,60,235.7668791,58.02719296,34.37763304,29.76259815,,,,
38,511,225.598526,60,299.8978737,56.90859652,34.19830954,39.07642102,,,,
39,523,179.8242477,60,268.0617921,58.72416918,34.20005152,36.51711504,,,,
40,515,207.402192,60,309.6097177,59.92365596,34.6601278,28.35600298,,,,
41,475,212.4635825,52,325.2032534,52.02992832,34.57843473,38.13458378,,,,
42,474,204.1685142,52,294.1985058,53.04865457,34.05247015,40.11571448,,,,
43,497,179.4361559,52,274.6547309,55.43139527,33.99695636,26.58756462,,,,
44,487,200.698747,52,257.4588252,54.35399214,34.07970818,32.77345243,,,,
45,491,179.9471637,52,212.0623602,56.40546782,35.7582267,32.07347609,,,,
46,536,253.1350314,52,283.4150123,56.69162499,33.89445541,31.07400624,,,,
47,519,223.7953778,52,263.7371985,60.24207796,32.8228229,34.14568095,,,,
48,497,159.5314768,52,226.7886167,55.35646319,33.44293927,25.42861821,,,,
49,465,233.6773302,52,259.6733005,51.31819648,34.14037626,32.42049037,,,,
50,497,218.468529,52,259.1086937,55.59006183,33.50773343,31.86444465,,,,
51,487,218.2797168,60,344.4480929,56.42043527,34.66377572,42.62263239,,,,
52,476,203.9866645,60,320.4522475,54.47699061,34.79184314,36.69479132,,,,
53,518,205.4944562,60,317.7039291,61.4759965,34.64123609,38.10373029,,,,
54,496,166.2019882,60,258.5070142,56.30214588,35.92176298,22.90329069,,,,
55,505,229.3637706,60,355.3134663,56.87202874,34.01835101,29.7027984,,,,
56,463,164.133215,60,346.8324367,50.71380338,34.66940131,26.25753224,,,,
57,489,219.9724211,60,328.5845885,56.13521984,34.85605023,33.34921958,,,,
58,467,176.7075142,60,302.9883311,51.53893229,33.96254911,33.73063515,,,,
59,476,172.8850014,60,264.4709811,54.40533481,35.07279457,32.03809325,,,,
60,505,192.2845405,60,270.4822283,60.77479318,35.30020096,25.85466356,,,,
61,506,199.2645274,68,561.3745688,47.0485057,36.10171379,27.10669556,,,,
62,557,193.8850921,68,505.200157,63.97166158,37.07394415,41.01160714,,,,
63,520,226.1746855,68,508.9231693,49.56011391,37.47422317,28.77912838,,,,
64,499,198.5380505,68,490.9002959,44.10139024,36.31210037,18.73620814,,,,
65,544,151.9217401,68,481.0793588,61.21632295,36.26735397,34.94579857,,,,
66,498,188.1210081,68,473.3193419,43.31162447,35.74068162,20.9274606,,,,
67,489,159.286282,68,471.9548466,41.53225785,36.55050277,12.97481366,,,,
68,496,234.6304466,68,473.2409534,43.06835103,36.90402601,25.20400831,,,,
69,472,236.2215238,68,456.9637889,41.26309807,36.39509857,11.08903333,,,,
70,468,204.4639299,68,455.2594318,42.21467762,36.3470068,15.01068627,,,,
71,485,198.6889189,56,275.2985542,58.27395417,35.11780065,40.02336947,,,,
72,515,177.8373478,56,252.8707817,57.3609472,34.25899705,36.02056155,,,,
73,467,210.9266159,56,293.1536075,53.91611595,34.90018248,42.10914629,,,,
74,481,235.8787175,56,253.6142971,57.18331338,35.1197992,38.43255125,,,,
75,503,185.2288363,56,259.3771966,57.33016685,34.17312391,26.29681142,,,,
76,524,170.3850733,56,248.7506962,59.21706375,34.28974649,31.38504153,,,,
77,488,153.0102799,56,236.8070202,55.24030476,34.66515223,26.21611703,,,,
78,486,218.8833585,56,252.240056,55.94229789,35.01455743,25.92269237,,,,
79,475,176.6889942,56,234.4956044,53.14128525,34.03099093,26.416753,,,,
80,496,168.6590743,56,234.6681046,54.87247088,33.4531397,28.8760556,,,,
81,532,183.9490983,60,290.7292619,63.08729874,35.93594109,39.41692083,,,,
82,532,185.9623142,60,284.1989103,63.46551401,33.44566302,36.21172961,,,,
83,501,207.5892786,60,332.4420641,58.60518149,34.30417846,33.15885424,,,,
84,519,246.2348597,60,320.476747,60.2080913,35.00707845,25.10477385,,,,
85,492,192.3197048,60,270.4948108,58.86610817,35.84416071,25.42067137,,,,
86,517,233.614073,60,297.4991952,58.95117631,34.40617627,32.32946651,,,,
87,544,171.7182503,60,269.9294074,61.46603661,34.34428836,30.72523247,,,,
88,470,228.2168228,60,341.8844491,52.78750389,35.04857263,34.17864892,,,,
89,474,182.4259514,60,265.8737024,54.4834529,33.5794607,24.19926986,,,,
90,506,212.7090516,60,284.1621337,58.20553046,33.90221275,27.66875959,,,,
91,478,211.9540489,52,283.2013017,54.15570793,34.54692775,36.65048887,,,,
92,500,173.6001723,52,253.0817738,57.98717077,34.23170197,26.31276022,,,,
93,471,234.4555838,52,282.2154083,55.10437214,34.51140448,35.51697116,,,,
94,470,245.3727718,52,278.6069122,55.43651806,33.77740912,38.57481835,,,,
95,513,226.4153532,52,261.0003631,55.25748285,34.43347118,32.60562729,,,,
96,479,186.3215077,52,240.3242423,54.44743382,33.21203574,20.99854505,,,,
97,514,200.1413477,52,284.8155415,55.99504,33.84694093,28.54202245,,,,
98,471,200.3852005,52,258.1955667,52.58080158,33.27191249,33.14406642,,,,
99,541,180.0671017,52,278.916879,60.10468173,34.10522373,32.40122825,,,,
100,487,216.8801219,52,235.2231981,52.69233314,33.38264932,30.54899421,,,,
101,486,218.4166035,60,317.706606,57.32155837,33.7589171,36.1389366,,,,
102,509,184.8576453,60,299.5305982,59.17499364,34.5010503,24.96050309,,,,
103,472,233.1282061,60,370.6044667,52.65487588,34.01519359,35.36156772,,,,
104,543,234.5592018,60,314.8630931,60.5195579,33.85406348,31.84839979,,,,
105,498,201.5454401,60,303.6614417,55.8236962,34.61947275,32.37567513,,,,
106,524,192.4900635,60,255.8536296,59.14488713,33.91329306,30.22903365,,,,
107,481,215.5014061,60,288.8859025,56.29992964,34.91049583,41.17706102,,,,
108,507,216.6055135,60,291.1780908,58.65178817,34.70663462,28.86121609,,,,
109,507,240.7462662,60,312.7116741,55.41070338,34.41507325,31.95154854,,,,
110,492,194.5345405,60,276.9641588,57.63000006,34.47874255,32.09144955,,,,
